ps -aux >> 03.report.process.shell.txt

USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
dumdum    2960  0.0  0.1 255008  8588 tty2     Sl   08:38   0:00 /usr/lib/ibus/ibus-dconf
dumdum    2961  0.0  0.3 322004 26976 tty2     Sl   08:38   0:03 /usr/lib/ibus/ibus-extension-gtk3
dumdum    2965  0.0  0.2 245096 23204 tty2     Sl   08:38   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
dumdum    2968  0.0  0.1 254988  8496 ?        Sl   08:38   0:00 /usr/lib/ibus/ibus-portal
dumdum    2978  0.0  0.2 578124 23724 ?        Sl   08:38   0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
dumdum    2993  0.0  0.4 1185120 34992 ?       Ssl  08:38   0:00 /usr/lib/evolution/evolution-source-registry
dumdum    2994  0.0  0.1 268260 10968 ?        Ssl  08:38   0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
dumdum    3013  0.0  0.0 347632  7536 ?        Ssl  08:38   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
dumdum    3018  0.0  0.1 254916  8644 ?        Ssl  08:38   0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
dumdum    3022  0.0  0.9 893548 80044 ?        SLl  08:38   0:01 /usr/lib/gnome-online-accounts/goa-daemon
dumdum    3025  0.0  0.0 161516  5516 ?        Sl   08:38   0:00 /usr/lib/dconf/dconf-service
dumdum    3028  0.0  0.0 179196  5876 ?        Ssl  08:38   0:00 /usr/lib/gvfs/gvfsd-metadata
dumdum    3041  0.0  0.1 267588 10240 ?        Sl   08:38   0:00 /usr/lib/gnome-online-accounts/goa-identity-service
dumdum    3046  0.0  0.0 257156  6508 ?        Ssl  08:38   0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
dumdum    3050  0.0  0.0 252604  5948 ?        Ssl  08:38   0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
dumdum    3058  0.0  0.3 680836 26256 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-power
dumdum    3060  0.0  0.1 281144 10388 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
dumdum    3064  0.0  0.0 398036  5876 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
dumdum    3065  0.0  0.0 250428  4700 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
dumdum    3066  0.0  0.1 417620 12388 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
dumdum    3073  0.0  0.1 289300 10344 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
dumdum    3076  0.0  0.2 393160 24040 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
dumdum    3077  0.0  0.2 322960 22984 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
dumdum    3078  0.0  0.1 340664  9792 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
dumdum    3091  0.0  0.1 254928  8688 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
dumdum    3092  0.0  0.2 244204 22112 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
dumdum    3093  0.0  0.3 413752 25164 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-color
dumdum    3096  0.0  0.2 366504 22820 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
dumdum    3101  0.0  0.1 330964  8760 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
dumdum    3102  0.0  0.2 392580 22992 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
dumdum    3103  0.0  0.3 751092 25308 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
dumdum    3104  0.0  0.1 254932  8360 tty2     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
dumdum    3147  0.0  0.4 481820 37944 tty2     Sl+  08:38   0:00 /usr/bin/python3 /usr/lib/hidpi-daemon/hidpi-daemon
dumdum    3149  0.0  0.6 1224836 54188 tty2    Sl+  08:38   0:00 /usr/lib/evolution/evolution-data-server/evolution-alarm-notify
